,Player,Team,Position,Age,Matches played,Minutes played,Birth country,Passport country,Successful defensive actions per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,Assists per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Key passes per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90
29,L. Gewitz,Häcken,RCB,27.0,20,1876,Denmark,Denmark,11.47,75.14,2.45,49.02,0.07,0.19,7.52,0.48,0.05,58.24,88.39,24.85,79.34,3.41,52.82,4.99,20.65,0.01,0.14,0.14,69.12,1.39,41.38,0.82,0.38,0.19,9.79
30,F. Abrahamsson,KIF Örebro,"RB, RCB",27.0,22,1870,Sweden,Sweden,9.29,56.98,2.02,35.71,0.11,0.19,4.83,0.53,0.0,47.41,82.13,22.57,72.71,4.24,39.75,6.3,18.98,0.02,0.29,0.19,65.07,2.02,40.48,0.67,0.24,0.82,11.17
31,R. Öling,Rosengård,"LCMF, LW",27.0,23,1867,Finland,Finland,9.4,58.38,1.35,42.86,0.13,0.1,5.43,0.34,0.29,36.35,75.6,10.65,59.28,9.21,34.47,1.16,14.96,0.09,0.87,0.48,59.72,2.89,38.33,1.83,1.49,0.19,4.05
32,N. Karlsson,Växjö,"LB, LCB",26.0,20,1836,Sweden,Sweden,14.61,68.54,4.02,70.73,0.41,0.88,8.7,0.69,0.0,39.8,69.33,19.56,56.64,3.09,30.05,8.33,22.53,0.04,0.39,0.25,36.09,2.06,26.19,1.13,0.39,0.34,9.26
33,P. Johansson,Linköping,"LCB, RCB",33.0,21,1804,Sweden,Sweden,8.53,67.72,1.15,47.83,0.06,0.25,4.82,0.75,0.05,58.87,80.68,28.14,68.26,2.89,46.35,11.97,22.32,0.01,0.25,0.2,62.08,1.7,38.24,1.95,0.3,0.3,14.72
34,H. Davison,AIK,"LCB, CB, RCB",24.0,19,1788,United States,United States,15.5,77.63,3.22,64.06,0.56,0.96,9.16,1.11,0.05,38.56,71.28,17.11,50.59,2.01,29.14,9.21,23.27,0.01,0.1,0.05,32.99,0.86,5.88,0.7,0.0,0.05,7.85
35,M. Carlsson,Kristianstad,"LB, LWB, LCB",31.0,21,1774,Sweden,Sweden,10.65,65.29,4.52,59.55,0.53,0.3,8.15,0.76,0.05,52.1,80.14,22.53,69.37,6.24,43.38,7.31,20.22,0.08,0.86,0.56,59.64,1.57,38.71,0.81,0.51,0.46,12.07
36,J. Rytting-Kaneryd,Häcken,"RAMF, RWB, LAMF",24.0,22,1730,Sweden,Sweden,7.02,63.64,1.98,21.05,0.0,0.1,5.1,0.57,0.1,40.89,74.94,7.86,71.52,10.82,35.84,0.78,15.22,0.22,1.51,0.78,63.04,3.38,55.38,0.62,1.87,1.2,4.89
37,P. Boakye,Djurgården,"LCB, LB",32.0,19,1729,Ghana,Ghana,12.28,65.63,1.25,70.83,0.06,0.42,8.75,0.88,0.0,46.12,82.96,19.78,73.68,2.91,39.77,5.21,19.73,0.1,0.73,0.21,60.87,1.3,56.0,0.31,0.16,0.57,8.85
38,A. Edgren,Kristianstad,"CF, LAMF, RB",28.0,24,1728,Sweden,Sweden,6.88,54.55,4.38,48.81,1.21,0.1,4.02,0.78,0.05,26.61,71.43,8.75,63.69,6.09,23.85,1.35,16.94,0.08,0.57,0.31,57.14,1.82,31.43,0.63,0.68,0.21,4.06
39,M. Jans,Vittsjö,"RCMF, RCB",27.0,20,1699,Denmark,Denmark,8.95,66.09,3.34,61.9,0.39,0.42,5.71,0.58,0.0,46.67,83.43,16.53,71.47,6.04,42.17,4.03,18.36,0.04,0.37,0.05,62.0,0.95,44.44,0.69,0.32,0.32,8.16
